Times,H,V,M,North Pole,South Pole,Maximum Radius at t
1.9928843303263855,0.9481234958346435,0.7266169272769566,7.0,2.135056688599753,-0.0003965151578614323,1.1848445955190405
1.9944184984020792,0.9492395577823173,0.7274704547408406,7.0,2.1365317749737143,-0.000316650175608002,1.184950227143746
1.9959526664777731,0.9503569096518222,0.7283112503820499,7.0,2.1380354859297164,-0.00023480920744578526,1.1850416792681204
1.997486834553467,0.9514755315398681,0.7291390726794886,7.0,2.1395659037012926,-0.0001511864828914744,1.1851176000502317
1.999021002629161,0.9525954031867053,0.7299536892857729,7.0,2.1411204438575226,-6.6004677841347e-5,1.1851767461824343
2.000555170704855,0.953716503991684,0.7307548779957388,7.0,2.1426958751048817,2.051005722258914e-5,1.1852179857284064
2.0020893387805487,0.9548388130304749,0.7315424278291666,7.0,2.144288349322105,0.00010814943941028776,1.1852402991502498
2.003623506856243,0.9559623090736411,0.732316139910504,7.0,2.1458934414389037,0.00019673878088077856,1.1852427787318554
2.0051576749319366,0.9570869706059679,0.7330758279651082,7.0,2.147506198684166,0.00028614614827160434,1.1852246266338091
2.0066918430076304,0.9582127758458717,0.7338213183681186,7.0,2.1491211985889094,0.0003762849607878982,1.1851851518349046
2.0082260110833245,0.9593397027642383,0.7345524497742912,7.0,2.1507326149459436,0.0004671108237989108,1.1851237662259193
2.0097601791590183,0.9604677291021894,0.7352690724196566,7.0,2.152334290721962,0.0005586139522001377,1.1850399801225675
2.0112943472347125,0.9615968323874681,0.7359710472191093,7.0,2.1539198167126115,0.0006508088374365117,1.1849333974573384
2.012828515310406,0.9627269899493257,0.736658244792753,7.0,2.1554826145510515,0.0007437228624874725,1.184803710894831
2.0143626833861,0.9638581789319938,0.7373305445406113,7.0,2.157016022546401,0.0008373854070197195,1.1846506970934279
2.015896851461794,0.964990376306954,0.7379878338609455,7.0,2.158513382755184,0.0009318186650509874,1.1844742123089416
2.017431019537488,0.9661235588843211,0.7386300075725701,7.0,2.159968127683891,0.0010270309850703985,1.184274188504651
2.0189651876131816,0.9672577033236989,0.7392569675685614,7.0,2.161373865083614,0.0011230131016747302,1.18405063009829
2.0204993556888757,0.9683928045210716,0.7398806006695327,6.0,2.162724338548309,0.001217689027357638,1.1838035950258916
2.0220335237645695,0.9695288879646722,0.7405208474872409,6.0,2.1640134447905632,0.0013057614798432926,1.1835331819274553
2.0235676918402636,0.9706659774926976,0.7411766324956113,6.0,2.1652355589109686,0.001382750703604274,1.1832395579483848
2.0251018599159574,0.971804094688004,0.7418464856217369,6.0,2.1663856131080355,0.0014452145169090436,1.182922959206067
2.026636027991651,0.9729432584019576,0.7425286264273842,6.0,2.16745915647869,0.001490861161181245,1.182583691962873
2.0281701960673453,0.9740834844157755,0.7432210537309967,6.0,2.168452396893008,0.0015185575678204888,1.1822221344233699
2.029704364143039,0.9752247852390357,0.743921635016472,6.0,2.1693622271978246,0.0015282450600635489,1.1818387390549097
2.031238532218733,0.976367170037383,0.744628190643576,6.0,2.1701862387832103,0.0015207816104721994,1.1814340353185608
2.032772700294427,0.9775106446752556,0.745338568823662,6.0,2.1709227258146204,0.001497734144159879,1.181008632690808
2.0343068683701206,0.9786552118549948,0.7460507084411919,6.0,2.17157068323975,0.0014611459149962425,1.1805632238543822
2.035841036445815,0.9798008713310203,0.7467626879845178,6.0,2.1721298011230976,0.0014133028922080904,1.1800985879377288
2.0373752045215086,0.9809476201768521,0.7474727599929106,6.0,2.1726004570755215,0.0013565198285220292,1.1796155936857982
2.0389093725972027,0.9820954530834279,0.7481793714527035,6.0,2.172983707673316,0.0012929618542937282,1.1791152024488296
2.0404435406728965,0.983244362669107,0.7488811714188642,6.0,2.173281278935372,0.0012245117517378779,1.1785984708803439
2.04197770874859,0.9843943397846858,0.7495770077595838,6.0,2.1734955552556348,0.001152687200390412,1.1780665532400334
2.0435118768242844,0.9855453738002335,0.7502659153084303,6.0,2.173629565743403,0.0010786068663777293,1.1775207032021942
2.045046044899978,0.9866974528643123,0.7509470978646282,6.0,2.1736869667372543,0.0010029997171386862,1.1769622750759883
2.0465802129756723,0.9878505641298184,0.7516199064331979,6.0,2.1736720193219763,0.0009262487013033116,1.17639272435084
2.048114381051366,0.9890046939440041,0.7522838158809886,6.0,2.1735895609510956,0.0008484580843896028,1.1758136074893304
2.0496485491270597,0.9901598280030793,0.7529384018454428,6.0,2.17344497069726,0.0007695332539865429,1.1752265809012963
2.051182717202754,0.9913159514739585,0.7535833193217469,6.0,2.1732441281438035,0.0006892625408453368,1.1746333990468116
2.0527168852784476,0.9924730490872439,0.7542182839140528,6.0,2.1729933664187318,0.0006073922806832943,1.1740359116320145
2.054251053354142,0.9936311052063955,0.7548430563108816,6.0,2.1726994202921692,0.0005236886407644636,1.1734360598798803
2.0557852214298356,0.994790103878299,0.7554574301641661,6.0,2.1723693705626874,0.00043798231488645367,1.1728358718771594
2.0573193895055293,0.9959500288702641,0.7560612232401023,6.0,2.172010586120661,0.00035019473350161867,1.1722374570178304
2.0588535575812235,0.9971108636979038,0.7566542714783231,6.0,2.1716306650936446,0.00026034667684304846,1.171642999581345
2.060387725656917,0.9982725916475822,0.7572364254503173,6.0,2.171237376365335,0.00016855192998133095,1.171054751499735
2.0619218937326114,0.9994351957962229,0.7578075486380222,6.0,2.170838602546397,7.499977172864547e-5,1.1704750243802973
2.063456061808305,1.00059865903038,0.7583675169559356,6.0,2.1704422852016902,-2.0069379127907183e-5,1.1708948955318994
2.064990229883999,1.0017629640656818,0.7589162189907309,6.0,2.1700563728464206,-0.00011639087981851759,1.1714958529478408
2.066524397959693,1.0029280934670723,0.7594535565232697,6.0,2.1696887719519324,-0.00021370157527988987,1.1721058445866666
2.0680585660353867,1.0040940296697818,0.7599794450045011,6.0,2.169347300980906,-0.00031176138628996597,1.172722467857135
2.069592734111081,1.0052607550006325,0.7604938137711967,6.0,2.1690396473209166,-0.0004103688824323992,1.1733432728578461
2.0711269021867746,1.006428251699102,0.7609966058911329,6.0,2.1687733269119285,-0.0005093700090621489,1.1739657763706026
2.0726610702624684,1.0075965019375526,0.7614877776166393,6.0,2.1685556463627265,-0.0006086601046575435,1.1745874762605757
2.0741952383381626,1.0087654878400876,0.7619672974918482,6.0,2.1683936674096094,-0.0007081801242634356,1.175205866179253
2.0757294064138563,1.0099351914996442,0.7624351452023879,6.0,2.1682941736674097,-0.0008079085177392642,1.175818450457698
2.0772635744895505,1.0111055949930958,0.7628913102770453,6.0,2.168263639734878,-0.0009078504797934706,1.1764227590698226
2.078797742565244,1.0122766803943029,0.7633357907525573,6.0,2.168308202821154,-0.0010080263057974381,1.1770163625385375
2.080331910640938,1.013448429785212,0.7637685918990975,6.0,2.1684336371385546,-0.0011084603944915283,1.1775968866522657
