R_in_CGS,V_in_CGS,Bo,We,Oh,Alpha Coefficient of restitution,Center Coefficient of restitution,Contact time ND,Contact time CGS,Min north pole height ND,Min north pole height CGS,Time min north pole height ND,Time min north pole height CGS,clea radius ND,Max radius CGS,Time of max radius ND,Time of max radius CGS,Max contact radius ND,Max contact radius CGS,Time max contact radius ND,Time max contact radius CGS,Max radial projection ND,Max radial projection CGS,Time max radial projection ND,Time max radial projection CGS,Min side height ND,Min side height CGS,Time min side height ND,Time min side height CGS
nothing,nothing,0.0,0.0121,0.0,0.9689600715289017,0.9689600715289017,3.448042750122056,3.448042750122056,1.8376723428884123,1.8376723428884123,1.5433730841480706,1.5433730841480706,1.0270066365410975,1.0270066365410975,1.6216156560084598,1.6216156560084598,0.38240717444260564,0.38240717444260564,2.3503454919630657,2.3503454919630657,1.0255589688073428,1.0255589688073428,1.5955347987216635,1.5955347987216635,1.8832998747146374,1.8832998747146374,1.7075290682473185,1.7075290682473185
nothing,nothing,0.0,0.0153,0.0,0.9708390612133698,0.9708390612133698,3.374402682488749,3.374402682488749,1.81858366337917,1.81858366337917,1.505018882255723,1.505018882255723,1.0315286872092855,1.0315286872092855,1.6139448156299903,1.6139448156299903,0.3823909612029605,0.3823909612029605,2.4178488872935975,2.4178488872935975,1.0300391439014958,1.0300391439014958,1.6001373029487451,1.6001373029487451,1.872071116996045,1.872071116996045,1.6630381940521952,1.6630381940521952
nothing,nothing,0.0,0.0193,0.0,0.9711128557393119,0.971112855739312,3.2746817575686444,3.2746817575686444,1.7978708302328363,1.7978708302328363,1.4267763103953337,1.4267763103953337,1.0362851889952838,1.0362851889952838,1.6108764794786026,1.6108764794786026,0.3817067636955953,0.3817067636955953,2.4423955765047003,2.4423955765047003,1.0348835596801007,1.0348835596801007,1.5970689667973572,1.5970689667973572,1.860027852386895,1.860027852386895,1.6246839921598477,1.6246839921598477
nothing,nothing,0.0,0.0244,0.0,0.9707734834760532,0.9707734834760531,3.205644194162419,3.205644194162419,1.7737481914529987,1.7737481914529987,1.4942797057258654,1.4942797057258654,1.0416307640240912,1.0416307640240912,1.5955347987216635,1.5955347987216635,0.4474121110698299,0.4474121110698299,2.146301137895776,2.146301137895776,1.0402936394386797,1.0402936394386797,1.6001373029487451,1.6001373029487451,1.8467470688340506,1.8467470688340506,1.5893981264188877,1.5893981264188877
nothing,nothing,0.0,0.0309,0.0,0.97326574172132,0.97326574172132,3.118196613847866,3.118196613847866,1.7450144506635743,1.7450144506635743,1.4497888315307423,1.4497888315307423,1.0483757777277822,1.0483757777277822,1.570988109510561,1.570988109510561,0.44808160291335414,0.44808160291335414,2.2260778778318593,2.2260778778318593,1.0471842733592591,1.0471842733592591,1.5587147649050097,1.5587147649050097,1.832652639851483,1.832652639851483,1.5433730841480706,1.5433730841480706
nothing,nothing,0.0,0.0391,0.0,0.976028494762108,0.976028494762108,3.0414882100631706,3.0414882100631706,1.7140129779561213,1.7140129779561213,1.3838196042759041,1.3838196042759041,1.0553994060338274,1.0553994060338274,1.5525780926022341,1.5525780926022341,0.44885682863367604,0.44885682863367604,2.2736370881783703,2.2736370881783703,1.0544214619794179,1.0544214619794179,1.5433730841480706,1.5433730841480706,1.8177353746478127,1.8177353746478127,1.503484714180029,1.503484714180029
nothing,nothing,0.0,0.0494,0.0,0.97514289848047,0.97514289848047,2.9801214870354142,2.9801214870354142,1.6814254079462623,1.6814254079462623,1.405297957335619,1.405297957335619,1.0629666694864535,1.0629666694864535,1.5326339076182132,1.5326339076182132,0.5116716270444202,0.5116716270444202,2.0189651876131816,2.0189651876131816,1.0621673898960888,1.0621673898960888,1.5326339076182132,1.5326339076182132,1.8017369835999186,1.8017369835999186,1.4620621761362935,1.4620621761362935
nothing,nothing,0.0,0.0625,0.0,0.9761320320868984,0.9761320320868984,2.927959772461822,2.927959772461822,1.6403185707647907,1.6403185707647907,1.3822854362002104,1.3822854362002104,1.073539335446127,1.073539335446127,1.5096213864828045,1.5096213864828045,0.5149295559586127,0.5149295559586127,2.101810263700653,2.101810263700653,1.0727321059205857,1.0727321059205857,1.5096213864828045,1.5096213864828045,1.7852527092466675,1.7852527092466675,1.4175713019411702,1.4175713019411702
nothing,nothing,0.0,0.0791,0.0,0.975687095206207,0.975687095206207,2.877332225963923,2.877332225963923,1.5982764832757694,1.5982764832757694,1.3163162089453724,1.3163162089453724,1.083642593050984,1.083642593050984,1.4927455376501717,1.4927455376501717,0.5169336690984239,0.5169336690984239,2.135561961365919,2.135561961365919,1.0828277665538428,1.0828277665538428,1.4927455376501717,1.4927455376501717,1.7677573433657612,1.7677573433657612,1.3776829319731285,1.3776829319731285
nothing,nothing,0.0,0.1,0.0,0.9730292330125807,0.9730292330125806,2.8128971667847784,2.8128971667847784,1.547279310106549,1.547279310106549,1.317850377021066,1.317850377021066,1.0958428714777886,1.0958428714777886,1.469733016514763,1.469733016514763,0.5747566387312204,0.5747566387312204,1.8931634054062814,1.8931634054062814,1.095018871190139,1.095018871190139,1.469733016514763,1.469733016514763,1.749789427187581,1.749789427187581,1.3301237216266175,1.3301237216266175
nothing,nothing,0.0,0.1,0.0,0.9730292330125807,0.9730292330125806,2.8128971667847784,2.8128971667847784,1.547279310106549,1.547279310106549,1.317850377021066,1.317850377021066,1.0958428714777886,1.0958428714777886,1.469733016514763,1.469733016514763,0.5747566387312204,0.5747566387312204,1.8931634054062814,1.8931634054062814,1.095018871190139,1.095018871190139,1.469733016514763,1.469733016514763,1.749789427187581,1.749789427187581,1.3301237216266175,1.3301237216266175
nothing,nothing,0.0,0.1495,0.0,0.9664765031033373,0.9664765031033373,2.723915418394532,2.723915418394532,1.4472153833240404,1.4472153833240404,1.2748936709016367,1.2748936709016367,1.1187068193513798,1.1187068193513798,1.4237079742439458,1.4237079742439458,0.6240289919374367,0.6240289919374367,0.9358425261732833,0.9358425261732833,1.1178656269095308,1.1178656269095308,1.4237079742439458,1.4237079742439458,1.7176924378770602,1.7176924378770602,1.2472786455391465,1.2472786455391465
nothing,nothing,0.0,0.199,0.0,0.9597153640018247,0.9597153640018246,2.6518095188369184,2.6518095188369184,1.3624749866260992,1.3624749866260992,1.2211977882523501,1.2211977882523501,1.1376085766652857,1.1376085766652857,1.3960929488814555,1.3960929488814555,0.6439584103079717,0.6439584103079717,0.6412822556400531,0.6412822556400531,1.1367531713706007,1.1367531713706007,1.3960929488814555,1.3960929488814555,1.6946058298900626,1.6946058298900626,1.1797752502086145,1.1797752502086145
nothing,nothing,0.0,0.2485,0.0,0.9523265287750725,0.9523265287750726,2.5889086277334683,2.5889086277334683,1.2834945704766132,1.2834945704766132,1.2104586117224927,1.2104586117224927,1.1525909832990824,1.1525909832990824,1.3792171000488225,1.3792171000488225,0.6960660531733729,0.6960660531733729,0.7885623909066682,0.7885623909066682,1.1517243122402105,1.1517243122402105,1.3792171000488225,1.3792171000488225,1.6760443555495768,1.6760443555495768,1.1337502079377975,1.1337502079377975
nothing,nothing,0.0,0.298,0.0,0.9461717428305838,0.9461717428305838,2.5444177535383448,2.5444177535383448,1.2170752228289612,1.2170752228289612,1.172104409830145,1.172104409830145,1.1690613744371534,1.1690613744371534,1.0631784764558776,1.0631784764558776,0.7131040916876801,0.7131040916876801,0.6213380706560324,0.6213380706560324,1.1681823187496194,1.1681823187496194,1.0631784764558776,1.0631784764558776,1.6613068090529781,1.6613068090529781,1.0969301741211437,1.0969301741211437
